Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
172044,OIE,-34.08203,21.75897,Africa,South Africa,Western Cape,AI_WCP2011_49,Unknown,29/05/2012,28/06/2012,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, ostrich",450,38,0,0,,,,,
172041,National authorities,30.05028,31.12722,Africa,Egypt,Giza,Nahya,Centroid Locality,18/06/2012,19/06/2012,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",20,,,20,,,,,
172040,National authorities,30.66694,31.51639,Africa,Egypt,Shrkia,Abu Firakh,Centroid Locality,13/06/2012,14/06/2012,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",10973,,,10973,,,,,
172039,National authorities,30.62611,31.63556,Africa,Egypt,Shrkia,Al'Alaqimah,Centroid Locality,13/06/2012,14/06/2012,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",17767,,,17767,,,,,
171685,OIE,20.909833,-102.620311,Americas,Mexico,Jalisco,Tepatitlan de Morelos (Valle de Guadalupe),Unknown,13/06/2012,21/06/2012,Confirmed,Influenza - Avian,H7N3 HPAI,"domestic, unspecified bird",480000,321600,118992,0,0,,,,
171684,OIE,20.91114,-102.69444,Americas,Mexico,Jalisco,Tepatitlan de Morelos (Pogueros),Unknown,13/06/2012,21/06/2012,Confirmed,Influenza - Avian,H7N3 HPAI,"domestic, unspecified bird",298599,107496,29024,0,0,,,,
171683,OIE,20.721778,-102.870394,Americas,Mexico,Jalisco,Acatic (Tiersas Colorados),Unknown,13/06/2012,21/06/2012,Confirmed,Influenza - Avian,H7N3 HPAI,"domestic, unspecified bird",263440,158064,63226,60000,,,,,
171682,National authorities,-6.233338,107.000012,Asia,Indonesia,Jawa Barat,LAMBANGJAYA,Unknown,06/04/2012,08/04/2012,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",17832,,,,5,,,,
171681,National authorities,-7.729377,111.494837,Asia,Indonesia,Jawa Timur,KEBONSARI,Unknown,19/04/2012,25/04/2012,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",6000,,,,,,,,
171680,National authorities,-6.763033,108.531081,Asia,Indonesia,Jawa Barat,HARJAMUKTI,Unknown,30/04/2012,30/04/2012,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2194,,,,0,,,,
