Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
154086,National authorities,-6.359008,108.326943,Asia,Indonesia,Jawa Barat,JURANGJERO,Centroid Locality,08/03/2010,08/03/2010,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",15000,,,,0,,,,
154085,National authorities,1.757717,101.289091,Asia,Indonesia,Riau,SEI. TARAB,Centroid Locality,16/03/2010,16/03/2010,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",20000,,,,0,,,,
154084,National authorities,-0.889086,101.325657,Asia,Indonesia,Sumatera Barat,TANJUNG PENYEBAL,Centroid Locality,06/03/2010,06/03/2010,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",750,,,,,,,,
154083,National authorities,-5.069782,105.296255,Asia,Indonesia,Lampung,GANJARASRI,Centroid Locality,25/03/2010,25/03/2010,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2542,,,,0,,,,
154082,National authorities,-6.576131,108.416066,Asia,Indonesia,Jawa Barat,GEDONGMULYO,Centroid Locality,15/03/2010,15/03/2010,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",0,,,,0,,,,
154081,National authorities,-7.190796,110.401712,Asia,Indonesia,Jawa Tengah,BATAN,Centroid Locality,08/03/2010,08/03/2010,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1735,,,,0,,,,
154080,National authorities,-7.439639,110.79127,Asia,Indonesia,Jawa Tengah,GEGESIKKIDUL,Centroid Locality,12/03/2010,12/03/2010,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",5054,,,,0,,,,
154079,National authorities,-5.417483,104.7255,Asia,Indonesia,Lampung,AIR PAOH,Centroid Locality,04/03/2010,04/03/2010,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1873,,,,0,,,,
154078,National authorities,-4.889079,104.901629,Asia,Indonesia,Lampung,YOSOREJO,Centroid Locality,23/03/2010,23/03/2010,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1492,,,,0,,,,
154077,National authorities,-7.100934,109.210702,Asia,Indonesia,Jawa Tengah,NGABENREJO,Centroid Locality,12/03/2010,12/03/2010,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",2475,,,,,,,,
