Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
116884,National authorities,22.33306,114.15,Asia,"Hong Kong, SAR",Administrative unit not available,Shan Shin Po,Unknown,25/01/2007,25/01/2007,Confirmed,Influenza - Avian,H5N1 HPAI,"wild, unspecified bird",,1,1,,,,,,
116854,National authorities,29.07694,48.08389,Asia,Kuwait,Al Ahmadi,Al Ahmadi,Unknown,25/02/2007,25/02/2007,Confirmed,Influenza - Avian,H5N1 HPAI,"wild, unspecified bird, domestic, chicken, domestic, turkey",,,,,,,,,
116784,National authorities,29.2775,47.95861,Asia,Kuwait,Al Farwaniyah,Al Farnawiyah,Unknown,25/02/2007,25/02/2007,Confirmed,Influenza - Avian,H5N1 HPAI,"wild, unspecified bird, domestic, chicken, domestic, turkey",,,,,,,,,
116750,OIE,34.75,70.83306,Asia,Afghanistan,Kunar,Nengerhar Province,Unknown,12/02/2007,12/02/2007,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",187,70,70,,,,,,
116746,OIE,34.69611,70.92472,Asia,Afghanistan,Kunar,Chawky,Unknown,12/02/2007,12/02/2007,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, turkey",15,3,3,,,,,,
116742,OIE,33.66667,73.16667,Asia,Pakistan,Islamabad,Islamabad,Unknown,16/02/2007,16/02/2007,Confirmed,Influenza - Avian,H5N1 HPAI,"wild, goose, domestic, unspecified bird, domestic, turkey",42,4,3,,,,,,
116735,OIE,53.38361,34.94667,Europe,Russian Federation,Kaluzhskaya Oblast,Borovskoy,Unknown,17/02/2007,17/02/2007,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,,,,,,
116727,National authorities,37.86667,41.11667,Asia,Turkey,Batman,Iluh,Unknown,18/02/2007,18/02/2007,Confirmed,Influenza - Avian,H5N1 HPAI,"wild, sparrow",,10,10,,,,,,
116720,OIE,38.14194,41.08056,Asia,Turkey,Diyarbakir,Silvan,Unknown,20/02/2007,20/02/2007,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,,,,,,
116710,OIE,56.14972,37.31667,Europe,Russian Federation,Moskovskaya Oblast,Udino,Unknown,17/02/2007,17/02/2007,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,3,3,,,,,,
