Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
265257,OIE,19.7128,105.7483,Asia,Viet Nam,Thanh Hoa,Quang Hoa,Exact,14/02/2020,17/02/2020,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",991,100,100,891,,,,,
265256,OIE,19.1203,105.6449,Asia,Viet Nam,Nghe An,Quynh Hung,Exact,12/02/2020,17/02/2020,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",161,100,50,111,,,,,
265255,OIE,19.8066,105.8092,Asia,Viet Nam,Thanh Hoa,Dong Hai,Exact,12/02/2020,17/02/2020,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",970,500,300,670,,,,,
265254,OIE,19.6454,105.4918,Asia,Viet Nam,Thanh Hoa,Tan Binh,Exact,12/02/2020,17/02/2020,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",1298,500,300,998,,,,,
265253,OIE,20.0648,105.6365,Asia,Viet Nam,Thanh Hoa,Vinh Phuc,Exact,12/02/2020,17/02/2020,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",3167,1000,500,2667,,,,,
265252,OIE,19.6236,105.6154,Asia,Viet Nam,Thanh Hoa,Van Thang,Exact,12/02/2020,17/02/2020,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",1500,1000,500,1000,,,,,
265251,OIE,9.8946,106.0711,Asia,Viet Nam,Tra Vinh,Hoa An,Exact,11/02/2020,17/02/2020,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",1500,500,400,1100,,,,,
265250,OIE,9.8694,106.0962,Asia,Viet Nam,Tra Vinh,Chau Dien,Exact,11/02/2020,17/02/2020,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",204,190,14,190,,,,,
265249,OIE,23.9945,120.3785,Asia,Taiwan (Province of China),Taiwan Sheng,Fangyuan Township,Exact,07/02/2020,12/02/2020,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",60,60,60,,,,,,
265248,OIE,23.626538,120.532122,Asia,Taiwan (Province of China),Taiwan Sheng,Gukeng Township,Exact,06/02/2020,12/02/2020,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",15094,1470,1470,13624,,,,,
265247,OIE,23.689834,120.261344,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,04/02/2020,12/02/2020,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",14020,200,200,13820,,,,,
265246,OIE,24.015011,120.374771,Asia,Taiwan (Province of China),Taiwan Sheng,Fangyuan Township,Exact,29/01/2020,12/02/2020,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, duck",380,380,380,,,,,,
265138,National authorities,49.9906,15.9683,Europe,Czech Republic,Vychodocesky,Slepotice,Exact,16/02/2020,17/02/2020,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",137500,1300,1300,,,,0,,
265136,National authorities,42.29193,24.9466,Europe,Bulgaria,Plovdiv,Bulgaria,Exact,17/02/2020,17/02/2020,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",15729,9142,9142,5830,,,0,,
265112,National authorities,35.270833,128.663056,Asia,Republic of Korea,Kyongsangnam-do,Changwon,Centroid Locality,,12/02/2020,Confirmed,Influenza - Avian,H5 LPAI,"environmental sample, unspecified bird",0,0,0,0,0,,0,,
265111,OIE,21.2052,106.1426,Asia,Viet Nam,Bac Ninh,Viet Thong,Exact,09/02/2020,12/02/2020,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",4256,500,500,3756,,,,,
265110,OIE,21.2133,106.0615,Asia,Viet Nam,Bac Ninh,Hoa Long,Exact,05/02/2020,12/02/2020,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",4475,500,500,3975,,,,,
264896,EC,53.5,20.183333,Europe,Poland,Warminsko-Mazurskie,Zybultowo,Centroid Locality,,08/02/2020,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",17060,,,,,,,,
264857,OIE,19.1361,105.654,Asia,Viet Nam,Nghe An,Quynh Ba,Exact,10/02/2020,10/02/2020,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",55,15,15,40,,,,,
264856,OIE,19.161,105.6511,Asia,Viet Nam,Nghe An,Quynh Hau,Exact,10/02/2020,10/02/2020,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",58,20,20,38,,,,,
