Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
147314,National authorities,10.24417,106.40611,Asia,Viet Nam,Ben Tre,Phu Hung,Centroid Admin3,14/01/2004,14/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147313,National authorities,10.20861,106.40222,Asia,Viet Nam,Ben Tre,Nhon Thanh,Centroid Admin3,04/02/2004,04/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147312,National authorities,9.90583,106.53306,Asia,Viet Nam,Ben Tre,An Thuan,Centroid Admin3,29/01/2004,29/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147311,National authorities,9.87722,106.58083,Asia,Viet Nam,Ben Tre,An Nhon,Centroid Admin3,22/02/2004,22/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147310,National authorities,10.06972,106.29694,Asia,Viet Nam,Ben Tre,Thanh Thoi B,Centroid Admin3,24/02/2004,24/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147309,National authorities,10.23361,106.29056,Asia,Viet Nam,Ben Tre,Thanh Ngai,Centroid Admin3,10/01/2004,10/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147308,National authorities,10.15111,106.2775,Asia,Viet Nam,Ben Tre,Tan Thanh Tay,Centroid Admin3,18/02/2004,18/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147307,National authorities,10.10222,106.33417,Asia,Viet Nam,Ben Tre,Phuoc My Trung,Centroid Admin3,01/01/2004,01/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147306,National authorities,10.12306,106.25111,Asia,Viet Nam,Ben Tre,Nhuan Phu Tan,Centroid Admin3,05/01/2004,05/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147305,National authorities,10.03778,106.36194,Asia,Viet Nam,Ben Tre,Ngai Dang,Centroid Admin3,27/01/2004,27/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147304,National authorities,10.0975,106.28694,Asia,Viet Nam,Ben Tre,Khanh Thanh Tan,Centroid Admin3,11/01/2004,11/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147303,National authorities,10.16417,106.32167,Asia,Viet Nam,Ben Tre,Hoa Loc,Centroid Admin3,28/02/2004,28/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147302,National authorities,10.13111,106.31389,Asia,Viet Nam,Ben Tre,Da Phuoc Hoi,Centroid Admin3,29/02/2004,29/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147301,National authorities,10.09333,106.37639,Asia,Viet Nam,Ben Tre,Binh khanh Tay,Centroid Admin3,23/01/2004,23/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147300,National authorities,10.06306,106.35139,Asia,Viet Nam,Ben Tre,An Thoi,Centroid Admin3,24/01/2004,24/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147299,National authorities,10.1775,106.42083,Asia,Viet Nam,Ben Tre,Thuan Dien,Centroid Admin3,02/01/2004,02/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
147298,National authorities,10.12333,106.50667,Asia,Viet Nam,Ben Tre,Tan Thanh,Centroid Admin3,22/01/2004,22/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",,,,,,,,,
